"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Rape and Mustard Oil",NA,"land area","ha",0
"Nigeria",2018,"Rape and Mustard Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Rape and Mustard Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Rape and Mustard Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Rape and Mustardseed",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Rape and Mustardseed",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Rape and Mustardseed",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Rape and Mustardseed",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Rape and Mustardseed",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Rape and Mustardseed",NA,"land area","ha",0
"Nigeria",2018,"Rape and Mustardseed",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Rape and Mustardseed",NA,"NUE","fraction",NA
"Nigeria",2018,"Rape and Mustardseed",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Rice and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Rice and products",NA,"above ground residue","kg y-1",5932757526.90216
"Nigeria",2018,"Rice and products",NA,"below ground residue","kg y-1",949241204.304346
"Nigeria",2018,"Rice and products",NA,"total residue burned","kg y-1",1483189381.72554
"Nigeria",2018,"Rice and products",NA,"yield","kg ha-1 y-1",1194.64076643978
"Nigeria",2018,"Rice and products",NA,"land area","ha",5873615
"Nigeria",2018,"Rice and products",NA,"N surplus","kg N y-1",-1869.65066721305
"Nigeria",2018,"Rice and products",NA,"NUE","fraction",45.7557247261107
"Nigeria",2018,"Rice and products",NA,"ymax","kg N y-1",-149289635.283815
"Nigeria",2018,"Roots, Other",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Roots, Other",NA,"above ground residue","kg y-1",72713122.5
"Nigeria",2018,"Roots, Other",NA,"below ground residue","kg y-1",14542624.5
"Nigeria",2018,"Roots, Other",NA,"total residue burned","kg y-1",18178280.625
"Nigeria",2018,"Roots, Other",NA,"yield","kg ha-1 y-1",211.276821806576
