"country","year","sector","subsector","species","mgmt","animal","pollutant","units","value"
"Nigeria",2018,"crops","synthetic fertiliser application","Groundnuts (Shelled Eq)",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Lemons, Limes and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Maize and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Maize Germ Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Millet and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Nuts and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Oats",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Oilcrops Oil, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Oilcrops, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Olive Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Olives (including preserved)",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Onions",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Oranges, Mandarines",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Palm Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Palmkernel Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Peas",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Pineapples and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Plantains",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Potatoes and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Pulses",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Rape and Mustard Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Rape and Mustardseed",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Rice and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Roots, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Rye and products",NA,NA,"NH3","kg y-1",0
